words (in Hausa Language),English
Abin dariya matuka,Lmfao
Abin dariya sosai,Lol
Abin daure,Binding
Abin dogara,Reliable
Abin dogaro,Liable
Abin duba,Considerate
Abin fesa,Spray
Abin firgici,Nightmarish
Abin fitina,Nuisance
Abin fito,Whistle
Abin fusatarwa,Frustrating
Abin girmamawa,Time-honored
Abin godiya,Appreciable
Abin gyarawa,Rremediable
Abin hali,Characteristics
Abin hani,Obstacle
Abin huda,Punch
Abin hukuntawa,Punishable
Abin iyawa,Afordable
Abin jefa,Missile
Abin kallo,Picture
Abin karawa,Screen
Abin karewa,Protective
Abin karfafa,Brace
Abin kariya,Shield
Abin kasaita,Manna
Abin kauna,Lovable
Abin kayamata,Repugn
Abin ki,Repellent
Abin koyi,Examplary
Abin kunya,Embarrass
Abin kwaikwayo,Paragon
Abin kwatanci,Model
Abin kyama,Taboo
Abin ƙyama,Abhorrent
Abin kyamata,Scumbag
Abin lada,Merit
Abin lura,Noteworthy
Abin mamaki,Startlingly
Abin mãmãki,Wonder
Abin marmari,Luxury
Abin misali,Exemplary
Abin morewa,Enjoyable
Abin murna,Halcyon
Abin nadama,Lamentable
Abin nadi,Rollercoaster
Abin nauyaya,Encumbrance
Abin nishadi,What fun
Abin nishadi,What fun
Abin nishaɗi,What fun
Abin qazanta,Abominably
Abin raini,Despicable
Abin rufe kofa,Gate
Abin rura,Stimulus
Abin sa gigicewa,Shock
Abin sa magani,Remedy
Abin sa mamaki,Sensation
Abin sa tunani,Memorial
Abin sa wuya,Snag
Abin sa’a,Godsend
Abin sarba,Lasso
Abin sare kai,Guillotine
Abin sha,Beverage
Abin shaawa,Admirably
Abin shagala,Pastime
Abin shaida,Proof
Abin shakku,Skeptical
Abin so,Desirable
Abin sufuri,Transport
Abin tacewa,Filter
Abin takaici,Sadly
Abin takawa,Tread
Abin tambaya,Questionable
Abin tausayi,Pitiable
Abin tilas,Necessity
Abin toshe hanya,Barrier
Abin toshe kwalaba,Cork
Abin toshe rami,Plug
Abin toshewa,Obstruction
Abin tozarci,Pratfall
Abin tsoro,Fearsome
Abin tunawa,Memorable
Abin wasa,Prick
Abin wasiyya,Legacy
Abin wayo,Trick
Abin wuta,Fuel
Abin yabawa,Admirable
Abin yabo,Commendable
Abin yarda,Believable
Abin yauki,Slime
Abin zamba,Trick
Abin zanci,Contrivance
Abin zargi,Suspicious
Abinci,Buffet
Abinci mai zaki,Sweet
Abincin dare,Dinner
Abincin tsami,Pickle
Abinda,What
Abinda aka yi ba daidai ba,Shoddy
Abinda ake kyama,Abomination
Abinda ba ya konewa,Fireproof
Abinda bai bunkasa ba,Latent
Abinda bai dace ba,Inequitably
Abinda ka iya faruwa,Imminently
Abinda ya aikata,Haywire
Abinda ya baci,Rugged
Abinda ya fice hankali,Weirdly
Abinda ya gabata,Foregoing
Abinda ya gagara,Stupendously
Abinda ya kayatar,Wowing
Abinda ya ke jawo wani abu,Subjected
Abinda ya rushe,Implode
Abinda yake daukaka mutum,Sanctification
Abinda zaa iya gani a taba,Corporeal
Abindabara,Gadget
Able,Absenger
Abokan aiki,Colleagues
Abokan wasa,Partners play
Abokantaka,Friendly
Abokara,Blouse
Aboƙara,Abokara
Aboki,Buddy
Abokin aiki,Colleague
Abokin ciniki,Customer
Abokin gaba,Adversary
Abokin gasa,Rival
Abokin hamayya,Antagonistic
Abokin tafiya,Companion
Abokin takara,Rival
Abokin tarayya,Ally
Abokin wasa,Friend play
Abokin zama,Mate
Abokinsa,Friend
Abokiya,Friend
Abokiyar rayuwa,Soulmate
Abokiyar tafiya,Companion
Abokiyar wasa,Playing partner
Abota,Amicability
Abu,Object
Abu a dukunkune,Shroud
Abu biyu kishiyoyin juna,Diametrically
Abu dan mitsitsi,Flake
Abu dari,Century
Abu daya,One
Abu kadan mai maana,Pith
Abu mai hanawa,Hindrance
Abu mai ruwa,Hydra
Abu mai ruwa-ruwa,Fluid
Abu mai santsi,Slime
Abu mai uzzurawa,Disconcert
Abu na gangar jiki,Somatic
Abu na yau da gobe,Mundane
Abu ya fara rauni,Creak
Abubuwa,Stuff
Abubuwa a jere,Series
Abubuwa masu fashewa,Explosive
Abubuwa na daban,Oddities
Abubuwan,Events
Abubuwan alajabi,Marvels
Abubuwan amfani,Amenity
Abubuwan farin ciki,Gratifies
Abuce,Remain
Abun ban mamaki,Wonderful
Abun banza,Crap
Abun boye,Hideous
Abun ciki,Content
Abun da babu shi,Nonexistent
Abun dariya,Humour
Abun daurewa,Bond
Abun mamaki,Incredible
Abun yanka,Cutter
Abuta,Friendship
Abuwa,Threadworm
Acara,Trap
Accent,Focus
Accuse,Accuser
Adabali,Scar
Adabi,Literature
Adabo,Cheerio
Adadi,Numeral
Adadin,Number
Adadin jerantawa,Ordinal
Adalashi,Satin
Adalci,Justice
Adali,Upright
Adana,Saved
Adawa,Adversarial
Adawa da zamantakewa,Anti-social
Adda,Matchet
Addaba,Bugging
Addabi,Nagging
Addini,Religion
Addinin karebiya,Voodoo
Addu’a,Prayer
Addua,Praying
Addua,Praying
Adibas,Deposits
Adiko,Handkerchief
Adireshi,Address
Admission,Husan
Ado,Garnish
Ado mai tsada matuka,Swankiest
Ado mai tsada sosai,Swankier
Adon zinariya,Gild
Adudu,Basket
Adungure,Somersault
Aduwa,Desert
Afa,Establishing
Afarari,Cream
Afirika,Draggling
Afirka,Africa
Afirka ta kudu,South africa
Afrika,Africa
After,After tomorrow
Afuwa,Apocalyptic
Agaje,Help
Agaji,Humanitarian
Agana,Smallpox
Aganar kaza,Fowl
Agaza,Help
Ageing,Aging
Agogo,Clock
Agogon hannu,Watch
Agola,Stepchild
Agufi,Capon
Agwagwa,Duck
Ahankali,Slowly
Aibi,Defect
Aibu,Flaws
Aidin,Iodine
Aika,Send
Aika da,Remit
Aika waje,Export
Aikace,Bewitch
Aikace-aikace,Application
Aikata,Commit
Aikata (laifi),Perpetrate
Aikata ba dai dai ba,Malfeasance
Aikata muhimmin laifi,Felon
Aikatau,Labor
Aikatawa,Practiced
Aikatu,Apply
Aikawa,Posturing
Aike,Sent
Aiki,Chore
Aiki mai yiwuwa,Practical
Aiki mara dadi,Drudgery
Aiki na gari,Sterling
Aiki na kwarai,Sterling
Aiki na wajibi,Duty
Aiki sosai,Hamper
Aiki tare,Cooperative
Aiki tukuru,Slogging
Aikin aji,Lesson
Aikin banza,Futile
Aikin gida,Housekeeping
Aikin gona,Agriculture
Aikin gyare-gyare,Maintenance
Aikin ja gaba,Guidance
Aikin ƙasa,Groundwork
Aikin kasada,Venture
Aikin laifi don samun kudi,Racket
Aikin likita,Medicine
Aikin likitan fida,Surgery
Aikin makaranta,School work
Aikin poet,Poetry
Aikin shirya fuloti,Layout
Aikin uwar gida,Housekeeping
Aiko,Sent
Aims,& tours
Ainihi,Exact
Ainihin,Actual
Ainihin batu,Theme
Ainihin gawayi,Carbon
Ainun,Very
Aiskirim,Ice cream
Ajabu,Miracle
Ajali,Term
Ajalin hayar daki,Lease
Ajamiya,Ajam
Ajanda,Agenda
Aje,Save
Aji,Class
Aji na farko,First-class
Ajiya,Deposit
Ajiyar zuciya,Heartbreakingly
Ajiye,Save
Ajiye (mota),Park
Ajiye sarauta,Abdicate
Ajiye zuciya,Sigh
Ajizanci,Imperfect
Ajizi,Fallible
Ajo,Party
Ajujuwa,Classes
Ak’ada,Custom
Aka,Was
Aka fi so,Prefered
Aka rasa,Missed
Aka tambaya,Flustered
Akai akai,Frequently
Akai -akai,Constant
Akai-akai,Consistently
Akalla,At least
Aƙalla,At least
Akan,On
Akan lokaci,Punctuality
Akanga,Partition
Akanta,Accountant
Akara,Biscuit
Akasari,Forlornly
Akasi,Opposite
Akasin,Anti
Akasin haka,Contrary
Akawu,Clerk
Ake so,Desired
Ake zargi,Suspected
Akiba,Result
Akidar,Radically
Akin dinkin hannu,Needlework
Akiya,Avariciously
Akokari,Divination
Akoko,Calico
Aku,Parrot
Akubatan,Whey
Akullum,Ebulliently
Akumari da makamantansu,Pad
Akurki,Coop
Akushi,Dish
Akuya,Goat
Akwai,There
Akwama da makamancinsu,Purse
Akwati,Box
Akwatin gawa,Casket
Akwatin hoto,Camera
Akwatin sanyi,Fridge
Akwatinan hira,Chatterbox
Akwiya,Nanny-goat
Al’ada,Habit
Al’adar yi,Practice
Al’ajabi,Marvel
Al’amari,Affair
Al’amudi,Pillar
Ala kulla halin,Ala lock status
Alabe,Purse
Alada,Culture
Alada,Culture
Alade,Pig
Aladu,Pigs
Alafa,Thrush
Alajabi,Astounds
Alajabi,Astounds
Alajabin,Awesomeness
Alaka,Connection
Alaƙa,Affiliated
Alakar soyayya kafin aure,Courtship
Alakwayi da makamantansu,Tassel
Alal misali,For example
Alallaka da danginta,Swallow
Alama,Symptom
Alamar girma,Distinction
Alamar kabari,Mark the grave
Alamar ƙasa,Landmark
Alamar yan nazi,Swastika
Alamar zazzabi,Febrile
Alamari,Matter
Alamari,Matter
Alamomi,Hallmarks
Alamu,Patterns
Alamura,Matters
Alamura,Matters
Alatu,Luxury
Alaura,Cunt
Alawa,Judges
Alawas,Allowance
Alawas na tafiye-tafiye,Mileage
Alawayyo,Calico
Alayyafo,Spinach
Alayyahu,Spinach
Albarka,Bless
Albarkace,Bless
Albarkaci,Influence
Albarkatun,Resources
Albarushi,Gunpowder
Albasa,Onions
Albasa daya,Onions
Albashi,Salary
Albino,Antúnez
Albishir,News
Albishiri,News
Albishirinka,Quiet
Albishirinki,Good news
Albishirinku,Good news
Alerji,Allergy
Alewa,Candy
Alfadari,Mule
Alfahari,Hubris
Alfanu,Pertinacity
Alfarma,Favored
Alfarwa,Tent
Alfasha,Obscene
Alfen,Alfe
Alfijir,Dawn
Alfijiri,Dawn
Alfowa,Alfon
Algabba,Lining
Algaita,Music
Algaitu,Sounded
Algarara,Hessian
Algashi,Green
Alhaji,Pilgrim
Alhaki,Responsibility
Alhakin,Responsible
Alhakin laifi,Guilt
Alhali,Indubitable
Alhali kuwa,While
Alhamdu lil lahi,Fortunately lil lahi
Alhamdu lillahi,Thankfully
Alhamdulillahi,Thank god
Alhamis,Thursday
Alhanzir,Hog
Alharga,Hasp
Alharini,Silk
Alheri,Goodness
Alhini,Condolences
Alhudahuda,Hoopoe
Alif,Thousand
Aljan,Demon
Aljana,Trotting
Aljanantar,Demonized
Aljanar mace a tatsuniya,Banshee
Aljani,Jinn
Aljanna,Paradise
Aljannai,The devils
Aljannu,Daemon
Aljanu,Uncanny
Aljihu,Pocket
Aljihun tebur,Drawer
Alkalami,Pen
Alkali,Judge
Alkali,Judge
Alƙali,Umpire
Alkalin wasa,Umpire
Alkaluma,Figures
Alƙaluma,Figures
Alkama,Wheat
Alkarya,City
Alƙarya,City
Alƙaryu,Townships
Alkawali,Affirmation
Alkawali mai nauyi,Vow
Alkawarai,Promises
Alƙawarai,Promises
Alkawari,Committal
Alƙawari,Promise
Alkawarin aure,Engagement
Alkawarin aure,Engagement
Alƙawarin aure,Engagement
Alƙawarori,Alkawarori
Alkiyama,Judgment
Alƙiyama,Judgment
Alkuki,Recess
Alkunya,Monstrosities
Alkur’ani,Koran
Alkyabba,Burnouse
Alkyabba da irinta,Cloak
Alla,Approximately
Alla-alla,Suspense
Allah,God
Allah sarki,God king
Allah-wadai,God-awful
Allera,Heddles
Allergy,Segments
Alli,Chalk
Allies,Allies indonesia
Allo,Board
Allon kafada,Shoulder-blade
Allon sanarwa,Notice
Allura,Needle
Allurar rigakafi,Vaccine
Almajiri,Beggar
Almanani,Hinge
Almar gamsuwa,Thumbs-up
Almara,Fiction
Almubazzaranci,Extravagance
Almubazzari,Extravagant
Almundahana,Corruption
Almuru,Dusk
Alo,Hallo
Alumma,Community
Alumma,Community
Alwala,Ablution
Alwashi,Vow
Alwatika,Triangle
Amai,Vomit
Amalanke,Cart
Aman wuta,Volcano
Amana,Entrust
Amara,Braid
Amarya,Bride
Amasaye,Haversack
Amasotai,Wether
Ambace,Named
Ambaci,Mention
Ambaliya,Inundate
Ambaliyar ruwa,Deluge
Ambata,Mention
Ambato,Comment
Ambulan,Envelope
Amfana,Benefit
Amfani,Exploitation
Amfanin gona,Crop
Amin,Amen
Amince,Trust
Amince da,Trust
Amincewa,Confidence
Aminci,Precarious
Aminta,Vindicated
Amintacce,Confident
Amintattu,Vindicate
Amma,But
Amma dai,However
Amnesia,Gentle
Amo,Noise
Amon babbar kararrawa,Chime
Amon yin hawaye,Sob
Amosani,Rheumatism
Amosanin jini,Amosanin blood
Amosanin kai,Dandruff
Amsa,Acknowledgement
Amsa amo,Rhythm
Amsa kuwa,Echo
Amsa yarji,Conset
Amsar waka,Chorus
Amsawa,Admission
Amshin waka,Chorus
Amuku,Hammock
Amurka,Us
Amya,Hive
An daidaita shi sosai,Well-positioned
An hana,Obstructed
An karɓa sosai,Well-received
An katange,Blocked
An rufe,Shrouded
An tabbata,Certain
Ana,Are
Ana biki,Carnival
Ana rawa,Carnival
Anda,Putty
Andira,Heddles
Angalawa,Diphtheria
Angalawa da irinsu,Tonsillitis
Angaza,Dan
Angazo,Pursued
Angels,@angels
Anger,Ange
Anger kenan,Wrath
Ango,Bridegroom
Angulu,Gunships
Aninin kudin faransa,Centime
Aninin riga,Button
Aniya,Zeal
Ankara,Realize
Ankararre,Realizable
Ankwa,Handcuff
Anna’ashi,Bier
Annabi,Prophet
Annashuwa,Gall
Annoba,Epidemic
Annuri,Glimmer
Antaya,Drench
Anti-yaduwa,Anti-proliferation
Anti-zama,Anti-occupation
Anyi saa,Luckily
Ara,Lend
Aradu,Peal
Arafiya,Arafa
Arashi,Compensation
Arautaki,Pillers
Arba’in,Forty
Arewa,North
Arewaci,North
Argue,Artave
Arha,Cheapest
Arha rababa,Dirt-cheap
Aringizo,Overpaid
Arkana,Distress
Armashi,Improvement
Arna,Heathen
Arne,Pagan
Arziki,Ricer
Asabar,Saturday
Asabar da lahadi,Week-end
Asakatu,Dawn
Asala,Solder
Asali,Originality
Asara,Loss
Asfaran,Saffron
Ashama’a,Candle
Ashana,Match
Ashar,Abuse
Ashara,Miscarriage
Ashe,Indeed
Ashirin,Twenty
Asibiti,Hospital
Asibitin mata,Clinic
Asirce,Secret
Asiri,Mystery
Aska,Penknife
Askar aski,Razor
Aske,Shave
Aski,Shaved
Asks,Van
Assha,Goddamn
Asshaka,Suspect
Asthma,From running
Asu,Moth
Asuba,Dawn
Asusu,Fund
Asusun,Accounts
Atisaye,Training
Atishawa,Sneeze
Atom,Particles
Attajiri,Merchant
Attend,Attends
Atuni mai katsa,Dysentery
Auduga,Cotton
Auka,Collapse
Auki,Progress
Auku,Betide
Aukuwa,Incident
Auna,Measured
Auna nauyin,Weigh
Aune,Straighten
Aura,Marry
Aurad da,Marry
Auratayya,Intermarriage
Aure,Marriage
Auren haram,Incest
Auren mata fiye da daya,Polygamy
Awaken,Motion
Aware,Separate
Awo,Pound
Awon daji,Survey
Awuru,Tsetse
Axe,Ax
Aya,Tiger-nut
Aya biyu,Colon
Aya da digo,Semicolon
Ayaba (irin babbar),Plaintain
Ayah,Sign
Ayamba,Threadworm
Ayari,Caravan
Ayis,Ice
Ayoyi,Verses
Ayu,Manatee
Ayyana,Nominate
Ayyuka,Actions
Aza,Levy
Aza sharadi,Stipulate
Aza wa kaya,Load
Azaba,Agonise
Azabta,Inflict
Azabtar,Agonized
Azabtarwa,Agonising
Azanci,Sense
Azara,Beam
Azargiya,Noose
Azumce,Fast
Azumi,Fasting
Azurfa,Silver
Azurta,Enrich
Azurtawa,Providence
Azuzuwa,Classrooms
Azzakari,Dick
Azzaluma,Regimes
Azzalumai,Unjust
Azzalumi,Crueler
Azzalumin sarki,Tyrant
ɓ,B
Ba,Castigate
Ba (wani) kashi,Thrash
Ba (wani) lada,Remunerate
Ba (wani) shawara,Suggest
Ba a bayyana ba,Undefined
Ba a bincika ba,Unresearched
Ba a buga ba,Unpublished
Ba a daidaita ba,Unsettled
Ba a fafe gora ran tafiya,Not carved out of the lead on the go
Ba a gama ba,Unfurnished
Ba a gwada ba,Untested
Ba a gyara ba,Maladjusted
Ba a iya gani,Inadvisably
Ba a iya shanyewa,Insufferably
Ba a iya taazara,Inconsolable
Ba a karanta ba,Unrequited
Ba a karba,Uncollectible
Ba a kiyaye shi,Unobserved
Ba a raba ba,Undivided
Ba a rubuta shi ba,Undocumented
Ba a sani ba,Unknown
Ba a shafa ba,Disaffected
Ba a so,Dont like
Ba a tabbatar ba,Unconfirmed
Ba a tantance ba,Uncredited
Ba a tsare ba,Unconstrained
Ba a warware ba,Unresolved
Ba a warware shi ba,Undissolved
Ba a yanke shawara ba,Undecided
Ba a yarda ba,Disapproved
Ba a yarda da shi ba,Unconvinced
Ba a yi ba,Undone
Ba akai-akai ba,Infrequently
Ba amfani,Disused
Ba amintacce,Untrustworthy
Ba bisa alada ba,Unnaturally
Ba bisa doka ba,Illegal
Ba bisa kaida ba,Illegally
Ba da,Endow
Ba da alama,Seem
Ba da amfani ba,Inconsequentially
Ba da amsa,Reply
Ba da dama,Enable
Ba da dariya,Joke
Ba da gaskiya ba,Misrepresented
Ba da gudummawa,Contribute
Ba da hankali ba,Incredulously
Ba da hujja ba,Unjustifiably
Ba da izini,Allow
Ba da izini ba,Dissuade
Ba da izni,Permit
Ba da kai ba,Defiantly
Ba da kudi,Subscribe
Ba da kunya,Disappoint
Ba da kyauta,Grant
Ba da laakari ba,Inconsiderate
Ba da labarin,Narrate
Ba da lada,Indemnify
Ba da ruwa,Irrigate
Ba da sadaka,Charity
Ba da shaida,Certify
Ba da shawara,Advise
Ba da son rai ba,Involuntary
Ba da son ranta ba,Unwillingly
Ba da tabbaci,Unprove
Ba da taimako,Contribute
Ba da tallafi,Subsidize
Ba da tsoro,Intimidate
Ba daɗi,Inconsolably
Ba daidai ba,Unequal
Ba damuwa,Unease
Ba dole ba,Unnecessary
Ba fasawa,Incessantly
Ba gardama,Undisputed
Ba gaskiya bane,Unreal
Ba harshe (wuta),Smoulder
Ba ji bagani,Indiscriminately
Ba kankan ba,Insecure
Ba ko daya,None
Ba komai,Nothing
Ba kome,Nothing
Ba kondauro,Chicken-pox
Ba kowa,Nobody
Ba kyau,Not good
Ba labari,Farfetched
Ba makawa,Unavoidably
Ba mamaki,Astound
Ba matsala,Issue-free
Ba na kwarai ba,Unauthentic
Ba na sakai ba,Involuntarily
Ba nakasasshe ba,Whole
Ba sabo ba,Stale
Ba safai ba,Seldom
Ba shakka,Unequivocally
Ba shi da amfani,Fruitlessly
Ba shi da tasiri,Ineffectually
Ba shiri,Unprepared
Ba siriri ba,Thick
Ba sosai ba,Half
Ba tare da,Without
Ba tare da aiki ba,Redundant
Ba tare da damuwa ba,Neurotically
Ba tare da gajiyawa ba,Indiscreetly
Ba tare da izini ba,Inordinately
Ba tare da jin zafi ba,Painlessly
Ba tare da jinkiri ba,Relentlessly
Ba tare da laakari ba,Recklessly
Ba tare da nuna bambanci ba,Indiscriminate
Ba tare da tunani ba,Thoughtlessly
Ba tashin hankali,Non-violent
Ba tohuwa,Dormant
Ba wanda,Nobody
Ba wani abu,Far-fetched
Ba wani wuri,Nowhere
Ba ya aiki,Does not work
Ba ya nan,Absentee
Ba yafiya,Unforgiving
Ba yawa,Scarce
Ba za a iya amfani da shi ba,Unusable
Ba za a iya jurewa ba,Intolerablely
Ba za a iya juyawa ba,Irrevocable
Ba za a iya magana ba,Unspeakable
Ba za a iya samun taimako ba,Insupportably
Ba zaa iya maye gurbinsu ba,Irreplaceable
Ba zaa iya riskar sa ba,Unreachable
Ba zaa karba ba,Unacceptably
Ba zai iya tsayawa ba,Cant stand
Ba zai yiwu ba,Implausibly
Ba- zata,Presto
Ba zato ba tsammani,Abruptly
Ba’a,Ridicule
Ba’anta,Deride
Baa,Mock
Baa kaunarsa,Unloved
Baba,Dad
Baban batu,Ultra-hardline
Baban kofi,Mug
Babba,Drastic
Babba (watau muhimmi),Principal
Babba da jaka,Marabou stork
Babba duka,Eldest
Babbaka,Broil
Babbake,Scorch
Babban,Gross
Babban akwati,Chest
Babban bangaren duniya,Continent
Babban biri,Gorilla
Babban birni,Metropolitan
Babban coci,Cathedral
Babban cokali,Table-spoon
Babban daki,House
Babban dutse,Boulder
Babban dutsen nika,Millstone
Babban faranti,Tray
Babban faskaren itace,Log
Babban fili,Range
Babban fushi,Passion
Babban hadari,Tornado
Babban hargitsi,Affray
Babban hoto,Enlargement
Babban jirgin teku,Steamer
Babban kifi,Shark
Babban kwano,Bin
Babban laifi,Felony
Babban magagari,Rasp
Babban mahaukaci,Craziest
Babban masauki baki,Hotel
Babban matsayi,Aristocracy
Babban mutum,Superhuman
Babban runduna,Host
Babban shamaki,Butler
Babban tanti,Booth
Babban taro,Convention
Babban teku,Ocean
Babban tsoro,Terror
Babbani,Uncle
Babbar fitilar mota,Headlamp
Babbar fitinar soja,Mutiny
Babbar hanya,Highway
Babbar kunya,Bund
Babbar mace marar aure,Spinster
Babbar mota,Buss
Babbar musifa,Apocalypse
Babbar ranar hutu,Festival
Babbar rumbun kwamfuta,Major computer hard drive
Babbar safar kafa,Stocking
Babbar shaawa,Enthusiasm
Babbar sigari baka,Cigar
Babbar takobi,Saber
Babi,Chapter
Babu,Absentees
Babu aibi,No defect
Babu kamarsa,Exceptional
Babu makawa,Inescapably
Babu mamaki,No surprise
Babu shakka,Doubtless
Babu tambaya,Unquestioned
Babu wani,None
Babu wasa,No fun
Babu zaɓi,Optionless
Bacci,Drowsiness
Bace,Disappeared
Bace (da gani),Vanish
Bacewa,Missing
ɓacewa,Missing
Bachelor,Bachelor or fly
Baci,Irritate
ɓacin hankali,Misstatement
Bacin rai,Annoyance
Bacin rai,Annoyance
ɓacin rai,Chagrin
Bacin suna,Infamy
Bacin zuciya,Displeasure
Bad da kama,Disguise
Bada,Granted
Bada gari,Surrender
Bada hakuri,Plead
Bada kunya,Disapointed
Bada shawara,Recommend
Bada shawarar,Recommends
Bada shawarwari,Advocated
Bada umarni,Giving instructions
Badam,Dissimilar
Badawa,Offers
Bad-da- bami,Disguise
Badda-bami,Hood
Bad-da-bami,Disguised
Bado da danginsa,Water-lily
Badoki,Suspense
Baduku,Cobbler
Bafada,Nobleman
Bafade,Earl
Bafadiya,Official
Baftisma,Baptism
Baga,Stack
Bagadaza,Baghdad
Bagaruwa,Acacia
Bagas,Free
Bagas-bagas,Bagas bagas
Bagidaje,Unsophisticated
Bagiri,Hybrid
Bagura,Chip
Bahaguwar fahimta,Negative perception
Bahasi,Trial
Bahili,Miser
Baho,Bath
Bai,Not
Bai cika ba,Unfulfilled
Bai dace ba,Inappropriate
Bai daya,Even
Bai isa ba,Insufficient
Bai iya ba,Cannot
Bai tabbatar ba,Unproves
Bai taka karya ya karya ba,Did not play false false
Bai yard aba,Disagree
Bai yarda ba,Disagrees
Baibaya,Thatch
Baici,Beside
Baicin,Instead
Baiko,Engagement
Bait,Direction
Baiti,Verse
Baitulmali,Treasury
Baiwa,Genius
Baiwar allah,Godsend
Baiwar iya abu,Flair
Bajamushe,German
Baje,Demolish
Bajinta da kuri,Brash
Baka,Bow
Baka da hanci,Heartily
Baka da zuci,Heartily
Bakace,Winnow
Baƙaƙe,Conscons
Bakan,Spectral
Bakan danko,Catapult
Bakan gizo,Rainbow
Bakance,Vow
Bakaneza,Valcanize
Bakanta,Blacken
Bakar fata,Negro
Bakar murna,Rapture
Bakar samfefa,Emery
Bakarara,Barren
Bakarare,Sterile
Bakarariya,Barren
Bakararre,Sterile
Bakarere,Barren
Bakauye,Peasant
Baki,Black
Baki,Black
Baƙi,Black
Baki (na fuska),Mouth
Baki biyu,Double
Baki daya,Unanimous
Baki ɗaya,Unanimous
Baki kirin,Black
